Station Name,Station Latitude,Station Longitude,Division,Line,Station Location,Entrance Location,Entrance Latitude,Entrance Longitude,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Entrance Type,Entry,Exit Only,Vending,Staffing,Staff Hours,ADA,ADA Notes,Free Crossover,North South Street,East West Street,Corner
25th St,40.660397,-73.998091,BMT,4 Avenue,"(40.660397, -73.998091)","(40.660323, -73.997952)",40.660323,-73.997952,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,4th Ave,25th St,SE
25th St,40.660397,-73.998091,BMT,4 Avenue,"(40.660397, -73.998091)","(40.660489, -73.998220)",40.660489,-73.99822,R,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,4th Ave,25th St,SW
36th St,40.655144,-74.003549,BMT,4 Avenue,"(40.655144, -74.003549)","(40.654490, -74.004499)",40.65449,-74.004499,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,36th St,NW
36th St,40.655144,-74.003549,BMT,4 Avenue,"(40.655144, -74.003549)","(40.654365, -74.004113)",40.654365,-74.004113,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,36th St,NE
36th St,40.655144,-74.003549,BMT,4 Avenue,"(40.655144, -74.003549)","(40.654676, -74.004306)",40.654676,-74.004306,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,36th St,NW
45th St,40.648939,-74.010006,BMT,4 Avenue,"(40.648939, -74.010006)","(40.649389, -74.009333)",40.649389,-74.009333,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,45th St,NE
45th St,40.648939,-74.010006,BMT,4 Avenue,"(40.648939, -74.010006)","(40.649424, -74.009728)",40.649424,-74.009728,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,45th St,NW
45th St,40.648939,-74.010006,BMT,4 Avenue,"(40.648939, -74.010006)","(40.649265, -74.009457)",40.649265,-74.009457,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,45th St,NE
45th St,40.648939,-74.010006,BMT,4 Avenue,"(40.648939, -74.010006)","(40.649546, -74.009602)",40.649546,-74.009602,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,45th St,NW
53rd St,40.645069,-74.014034,BMT,4 Avenue,"(40.645069, -74.014034)","(40.644653, -74.014690)",40.644653,-74.01469,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SW
53rd St,40.645069,-74.014034,BMT,4 Avenue,"(40.645069, -74.014034)","(40.644493, -74.014419)",40.644493,-74.014419,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SE
53rd St,40.645069,-74.014034,BMT,4 Avenue,"(40.645069, -74.014034)","(40.644756, -74.014586)",40.644756,-74.014586,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SW
53rd St,40.645069,-74.014034,BMT,4 Avenue,"(40.645069, -74.014034)","(40.644601, -74.014309)",40.644601,-74.014309,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SE
53rd St,40.645069,-74.014034,BMT,4 Avenue,"(40.645069, -74.014034)","(40.645619, -74.013688)",40.645619,-74.013688,R,,,,,,,,,,,Stair,NO,Yes,NO,NONE,,FALSE,,TRUE,4th Ave,52nd St,NW
59th St,40.641362,-74.017881,BMT,4 Avenue,"(40.641362, -74.017881)","(40.641606, -74.017897)",40.641606,-74.017897,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NW
59th St,40.641362,-74.017881,BMT,4 Avenue,"(40.641362, -74.017881)","(40.641435, -74.017561)",40.641435,-74.017561,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NE
59th St,40.641362,-74.017881,BMT,4 Avenue,"(40.641362, -74.017881)","(40.641778, -74.017722)",40.641778,-74.017722,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NW
59th St,40.641362,-74.017881,BMT,4 Avenue,"(40.641362, -74.017881)","(40.641633, -74.017362)",40.641633,-74.017362,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NE
59th St,40.641362,-74.017881,BMT,4 Avenue,"(40.641362, -74.017881)","(40.640682, -74.018857)",40.640682,-74.018857,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,60th St,SW
59th St,40.641362,-74.017881,BMT,4 Avenue,"(40.641362, -74.017881)","(40.640501, -74.018531)",40.640501,-74.018531,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,60th St,SE
77th St,40.629742,-74.02551,BMT,4 Avenue,"(40.629742, -74.02551)","(40.629550, -74.025731)",40.62955,-74.025731,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,77th St,NW
77th St,40.629742,-74.02551,BMT,4 Avenue,"(40.629742, -74.02551)","(40.629503, -74.025452)",40.629503,-74.025452,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,77th St,NE
77th St,40.629742,-74.02551,BMT,4 Avenue,"(40.629742, -74.02551)","(40.630221, -74.025459)",40.630221,-74.025459,R,,,,,,,,,,,Stair,NO,Yes,NO,NONE,,FALSE,,TRUE,4th Ave,76th St,NW
86th St,40.622687,-74.028398,BMT,4 Avenue,"(40.622687, -74.028398)","(40.622656, -74.028547)",40.622656,-74.028547,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,86th St,SW
86th St,40.622687,-74.028398,BMT,4 Avenue,"(40.622687, -74.028398)","(40.622583, -74.028315)",40.622583,-74.028315,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,86th St,SE
86th St,40.622687,-74.028398,BMT,4 Avenue,"(40.622687, -74.028398)","(40.623498, -74.028204)",40.623498,-74.028204,R,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,85th St,SW
95th St,40.616622,-74.030876,BMT,4 Avenue,"(40.616622, -74.030876)","(40.616021, -74.031383)",40.616021,-74.031383,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,95th St,SW
95th St,40.616622,-74.030876,BMT,4 Avenue,"(40.616622, -74.030876)","(40.615893, -74.030860)",40.615893,-74.03086,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,5th Ave,95th St,NE
95th St,40.616622,-74.030876,BMT,4 Avenue,"(40.616622, -74.030876)","(40.616189, -74.031234)",40.616189,-74.031234,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,95th St,NW
95th St,40.616622,-74.030876,BMT,4 Avenue,"(40.616622, -74.030876)","(40.617587, -74.030696)",40.617587,-74.030696,R,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,93th St,SW
95th St,40.616622,-74.030876,BMT,4 Avenue,"(40.616622, -74.030876)","(40.617363, -74.030404)",40.617363,-74.030404,R,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,93th St,NE
9th St,40.670847,-73.988302,BMT,4 Avenue,"(40.670847, -73.988302)","(40.670387, -73.988480)",40.670387,-73.98848,F,G,R,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,9th St,NE
9th St,40.670847,-73.988302,BMT,4 Avenue,"(40.670847, -73.988302)","(40.670538, -73.988778)",40.670538,-73.988778,F,G,R,,,,,,,,,Stair,YES,,NO,NONE,,FALSE,,TRUE,4th Ave,9th St,NW
