Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Gust  [sfc]
2018;09;15;00;00;67.36;90.00;0.00;0.00;0.00;0.00;3.54;71.57;8.50
2018;09;15;01;00;66.48;91.00;0.00;0.00;0.00;0.00;3.41;66.80;7.61
2018;09;15;02;00;65.91;92.00;0.00;0.00;0.00;0.00;3.50;63.43;6.04
2018;09;15;03;00;65.31;93.00;0.00;0.00;0.00;0.00;3.61;60.26;6.04
2018;09;15;04;00;64.90;94.00;0.00;0.00;0.00;0.00;3.72;57.26;7.61
2018;09;15;05;00;64.32;94.00;0.00;0.00;0.00;0.00;3.41;58.39;6.71
2018;09;15;06;00;63.94;94.00;0.00;0.00;0.00;4.45;3.36;53.13;7.16
2018;09;15;07;00;68.01;87.00;0.00;0.00;0.00;98.79;4.30;51.34;8.05
2018;09;15;08;00;69.76;82.00;0.00;0.00;0.00;197.58;4.30;51.34;7.16
2018;09;15;09;00;71.70;76.00;0.00;0.00;0.00;289.25;4.03;56.31;6.26
2018;09;15;10;00;73.95;70.00;0.00;0.00;0.00;413.85;3.82;69.44;4.92
2018;09;15;11;00;76.27;66.00;0.00;0.00;0.00;566.93;3.69;75.96;4.70
2018;09;15;12;00;78.31;62.00;0.00;0.00;54.26;669.28;3.13;90.00;3.80
2018;09;15;13;00;78.18;62.00;0.00;0.00;53.62;428.09;2.77;104.04;3.58
2018;09;15;14;00;78.63;62.00;0.00;0.00;53.62;347.10;2.86;128.66;3.80
2018;09;15;15;00;79.59;61.00;0.00;0.00;53.62;409.40;3.23;146.31;4.25
2018;09;15;16;00;79.44;61.00;0.00;0.00;53.62;412.07;4.00;153.43;6.04
2018;09;15;17;00;78.61;64.00;0.00;0.00;53.62;250.98;4.53;159.78;7.16
2018;09;15;18;00;76.69;68.00;0.00;0.00;7.87;80.10;4.74;160.71;4.25
